GRB071031.qdp,4,[-2.12299698  3.18286515  0.61015935  1.52735675  1.43941841],[0.14408291 0.1062726  1.92513665 0.34647777 1.92840828],[   272.78683108   1658.87252252  14434.53160872 180195.97857034],[4.28071659e+00 1.66739584e+03 2.55604077e+04 3.32832794e+06],0.001267053308538874,0.0009671810024328132,8263.019673839606,13.568176804334328,619,10,609,1634.1830810556298,46053.13551595744
GRB071031.qdp,4,"[-2.122996366398845, 3.1828609292751686, 0.6101845003289801, 1.5273530456804498, 1.4394051427679153]","[0.14408225640034902, 0.1062723566240701, 1.9252463754506268, 0.3464898427977834, 1.928452571108365]","[272.78657528781025, 1658.8929169105218, 14435.064054688526, 180195.86582204304]","[4.2807019378533315, 1667.517035207753, 25564.676406309773, 3328079.718707965]",0.0012670632763019578,0.0009671842403003964,8263.028297832481,13.56819096524217,619,10,609,1634.1837270965461,46052.89697617094
GRB071025.qdp,5,"[2.540611758006861, 2.406105483589436, 0.20766808768617617, 1.239058317385236, 1.2261294402149934, 1.4508755961366997]","[0.0, 0.0, 0.0, 0.0, 0.07510354109504454, 0.0]","[1.0992170113426152e-11, 237.0893398461289, 2941.8651453244215, 26015.481053857093, 138981.79629957033]","[2.872597357182952e-12, 8.048444536318861, 232.375461837661, 0.0, 0.0]",187648.3551058768,0.0,723.6355519289335,3.7109515483535054,207,12,195,295.43668343427294,80337.31005642058
GRB110411A.qdp,4,"[-2.7735260440759215, 11.275894597538231, -0.11883106320746324, 1.1656080135877762, 1.6501916387655895]","[0.37158608409814126, 1.093731528747546, 0.4352858894906099, 0.4243445848398037, 2.5946894965977076]","[161.85991854655666, 257.7913426039966, 1250.1206143676256, 21820.822430260865]","[1.511802679081993, 14.864186315398248, 774.1081561414293, 65260.330084608264]",5.428212365202988e-05,9.933025063631082e-05,162.2504250989126,3.31123316528393,59,10,49,90.64191997216105,5902.052550898991
GRB080916B.qdp,5,"[0.9945389651692474, 1.120729802992611, 2.146438516609625, 0.7183225007552643, 1.2159733732841307, 1.634880281975854]","[0.08777941649275472, 0.01715882003095994, 0.04976813737736597, 0.026726756605218154, 0.053584291868354256, 0.03662236742356752]","[8880.969000527568, 21249.456629948658, 39157.07875326186, 85242.9298038985, 202354.8734697698]","[1784.2272883874894, 489.60055922381804, 662.9298075526507, 5517.222294530954, 14931.920867522602]",4011.037794513329,6039.721561672248,177.31685481238884,1.2313670473082559,156,12,144,56.46749575516888,14179.768061357654
GRB100807A.qdp,3,"[-1.463685045212201, 3.9575666369370146, 0.9189448131010298, 1.1220285531070218]","[0.44487282705973374, 1.0302263020142817, 0.04705470810371059, 0.4324875520518237]","[247.5778992076789, 383.3373792235902, 76071.38856721572]","[11.042801852529132, 45.58812938054946, 205149.0941865201]",0.0019526197072773086,0.004548363209894897,45.296943328840136,1.5098981109613379,38,8,30,31.657602549895397,4713.323377573861
GRB130418A.qdp,4,"[0.6713248249333582, 2.0082691476557524, 0.9731625368377693, 1.4846941763939139, 1.4230648310118652]","[0.059829727287787175, 0.16517244465308667, 0.012248668648230826, 0.04134650629965273, 0.7128883460233868]","[216.5986668984643, 358.5715396745222, 17867.99181052944, 216890.64375241467]","[9.207455221901164, 16.935562210323635, 2063.2884343916758, 2147207.147331352]",1890.5242580343424,562.7103392090223,744.1143048089958,1.3856877184525063,547,10,537,198.42952051864748,54221.370110849144
GRB091112.qdp,4,"[0.7858015637662222, 1.8793799244012157, 0.3080093671948947, 1.659992117914871, 0.7276063996795382]","[0.3217845943572765, 0.14004005983905501, 1.443328075299715, 0.1727484522867109, 8.288892931772782]","[192.53843513193803, 1907.9516218874455, 6156.3268968748625, 43362.445449283216]","[189.01769718021765, 1830.8472772745451, 1815.1323222927742, 199610.339203459]",612.1307206868172,1059.061760833028,35.4534715378139,0.8647188179954609,51,10,41,12.587104569361593,3810.4634817429837
GRB111129A.qdp,5,"[-0.46821316484791387, -5.259358366338041, 3.4002338758941333, 0.36271081005107547, 1.4277243860620537, 1.2522859986446295]","[0.5354236714162833, 0.1833918239753154, 0.043549814252228904, 0.17717750955674108, 0.34667641155998385, 0.3152553271757522]","[171.1404808612388, 278.94488354736484, 2139.04619739051, 16693.034655005304, 35402.772242035804]","[4.692645711264995, 1.684345591699719, 185.13764559480666, 3077.647748957846, 64075.685334702284]",2.1835040228400158,5.800941144553804,2587.5792137789194,4.207445876063284,627,12,615,924.9085761412297,57697.8041745784
GRB101129A.qdp,0,[1.4065788588562969],[0.028767687489536935],[],[],63448.84516712604,30397.203602074584,50.416837232901095,1.1458372098386613,46,2,44,10.262235642735872,2786.7034859997916
