GRBname,Trig_ID,T90,T90_err,redshift,z_err,conversion
GRB210209A,1031636.0,139.408,21.51339,,,3.9799999999999994e-11
GRB210207B,1031297.0,92.528,4.539089,1.4-1.9,,3.75e-11
GRB210205A,1030629.0,22.864,4.013992,,,4.1299999999999996e-11
GRB210119A,1017711.0,0.06400001,0.02039607,,,
GRB210112A,1016881.0,107.6,13.01977,,,3.6e-11
GRB210104B,1015919.0,19.944,2.39839,,,4.3799999999999994e-11
GRB210104A,1015873.0,32.048,0.4893915,0.92,+0.3-0.3,3.49e-11
GRB210102C,1015728.0,87.232,5.088934,,,
GRB201229A,1015088.0,53.248,4.613441,,,3.74e-11
GRB201223A,1014316.0,29.0,6.708204,,,3.3399999999999996e-11
GRB201221D,1014037.0,0.164,0.03999991,1.046,,5.5e-11
GRB201221A,1013852.0,44.316,5.946339,5.7,,4.53e-11
GRB201216C,1013243.0,48.0,16.0,1.1,,4.1399999999999994e-11
GRB201209A,1011980.0,48.0,16.0,,,3.56e-11
GRB201203A,1010946.0,12.184,2.097451,,,3.4199999999999996e-11
GRB201128A,1009679.0,8.524,3.21968,,,3.27e-11
GRB201105A,1004239.0,33.68,4.02718,,,
GRB201104B,1004168.0,8.66,0.1618394,1.954,,3.72e-11
GRB201029A,1003002.0,491.024,17.62968,,,3.6299999999999994e-11
GRB201027A,1002158.0,11.736,2.607163,,,3.8099999999999996e-11
GRB201026A,1002103.0,271.784,10.68311,,,4.54e-11
GRB201024A,1001514.0,5.0,2.236068,0.999,,3.29e-11
GRB201021C,1001130.0,24.384,6.760978,1.070,,4.03e-11
GRB201020A,1000926.0,14.36,4.750731,2.903,,3.1399999999999996e-11
GRB201017A,1000613.0,22.08,6.252424,,,4.71e-11
GRB201015A,1000452.0,9.776,3.470783,0.426,,3.9799999999999994e-11
GRB201014A,1000255.0,36.196,8.107614,4.56,,3.47e-11
GRB201013A,999948.0,7.316,0.1783929,,,7.829999999999999e-11
GRB201006A,998907.0,0.4919999,0.08560366,,,5.099999999999999e-11
GRB201001A,998344.0,15.888,3.134632,,,6.82e-11
GRB200925B,997453.0,18.804,1.47852,,,3.16e-11
GRB200922A,997024.0,10.304,1.955444,,,3.2599999999999996e-11
GRB200919A,996503.0,108.432,21.53486,,,
GRB200917A,996184.0,21.0,4.242641,,,4.1799999999999994e-11
GRB200909B,995288.0,13.704,2.167136,,,
GRB200907B,995004.0,0.832,0.1338806,,,4.48e-11
GRB200906A,994856.0,70.9,7.630306,,,3.84e-11
GRB200903A,994389.0,22.912,7.358645,,,
GRB200901B,994165.0,705.94,148.7064,,,5.929999999999999e-11
GRB200901A,994143.0,20.352,7.586552,,,2.93e-11
GRB200829A,993768.0,13.1,3.079558,1.25,+0.02-0.02,3.62e-11
GRB200819A,992099.0,26.944,7.060334,,,7.779999999999999e-11
GRB200809B,987745.0,4.2,0.6278089,,,
GRB200806A,987016.0,38.688,1.004064,,,4.49e-11
GRB200729A,984929.0,122.0,34.23449,,,6.75e-11
GRB200716C,982707.0,86.572,15.1708,,,4.2099999999999995e-11
GRB200713A,982201.0,41.972,7.986744,,,3.24e-11
GRB200711A,981957.0,29.36,3.071708,,,5.7199999999999994e-11
GRB200701A,980421.0,38.78,8.712849,,,
GRB200630A,980210.0,14.844,2.787567,,,4.4199999999999993e-11
GRB200612A,977310.0,425.924,7.266132,,,3.1499999999999995e-11
GRB200608A,976692.0,121.552,33.00627,,,
GRB200529A,974942.0,79.916,7.195824,,,2.8599999999999997e-11
GRB200528A,974827.0,59.984,1.923817,,,3.52e-11
GRB200522A,973628.0,0.6159999,0.0785875,,,4.94e-11
GRB200519A,973140.0,71.696,1.204817,,,4.71e-11
GRB200512A,971846.0,74.0,14.31782,,,6.249999999999999e-11
GRB200509A,970886.0,828.228,13.38256,,,4.3799999999999994e-11
GRB200425A,967774.0,81.0,21.66218,,,4.37e-11
GRB200416A,966554.0,6.048,0.9786521,,,3.5399999999999995e-11
GRB200411A,965784.0,0.2199999,0.04472132,,,4.11e-11
