GRBname,Trig_ID,T90,T90_err,redshift,z_err,conversion
GRB161017A,718023.0,217.048,6.863246,2.013,,3.2e-11
GRB161014A,717500.0,23.0,4.472136,2.823,,3.75e-11
GRB161011A,716876.0,4.276,1.263095,,,3.57e-11
GRB161007A,716127.0,157.692,40.52403,,,4.53e-11
GRB161004B,715246.0,15.72,0.7521914,,,5.0499999999999994e-11
GRB161004A,715084.0,1.32,0.2997866,,,4.55e-11
GRB161001A,714404.0,2.6,0.3853518,0.891,,4.46e-11
GRB160927A,713782.0,0.4879999,0.1024499,,,3.74e-11
GRB160917A,712505.0,14.52,1.815709,,,4.07e-11
GRB160912A,711914.0,207.308,16.02694,,,4.19e-11
GRB160905A,711084.0,64.0,16.0,,,4.58e-11
GRB160827A,710050.0,14.048,5.579305,,,
GRB160826A,709907.0,52.616,14.3925,,,5.5099999999999996e-11
GRB160824A,709765.0,99.332,7.877792,,,4.91e-11
GRB160821B,709357.0,0.48,0.07299317,0.16,,3.27e-11
GRB160821A,709351.0,112.636,1.0967,,,
GRB160819A,86022006.0,67.2,1.6,,,
GRB160815A,708598.0,8.568,1.834296,,,3.87e-11
GRB160804A,707231.0,152.744,19.20321,0.736,,3.58e-11
GRB160801A,706871.0,2.852,0.4154275,,,3.96e-11
GRB160726A,706052.0,0.7279999,0.04308133,,,
GRB160716A,704572.0,6.392,0.5750131,,,6.54e-11
GRB160714A,704310.0,0.3479999,0.112641,,,
GRB160712A,704155.0,44.528,6.373164,,,3.95e-11
GRB160709A,703769.0,4.8,1.6,,,
GRB160705B,703176.0,54.58,12.57402,,,3.18e-11
GRB160703A,702699.0,45.008,3.024024,<~1.5,,
GRB160630A,702252.0,29.552,5.608428,,,4.59e-11
GRB160625A,701503.0,53.92,3.099135,,,6.009999999999999e-11
GRB160624A,701288.0,0.192,0.1431084,0.483,,4.55e-11
GRB160623A,,,,,,
GRB160612A,31791037.0,0.248,0.04816639,,,
GRB160611A,690598.0,35.124,6.0016,,,4.11e-11
GRB160607A,689597.0,33.492,0.4464437,,,3.67e-11
GRB160601A,688452.0,0.1199999,0.02262742,,,3.1899999999999995e-11
GRB160525B,687522.0,0.2919999,0.04560698,,,3.3799999999999996e-11
GRB160525A,687492.0,,,,,
GRB160519A,686818.0,35.616,6.069317,,,
GRB160506A,685245.0,260.528,78.31821,,,4.11e-11
GRB160504A,685124.0,53.96,5.68137,,,3.4e-11
GRB160501A,684679.0,,,,,3.3799999999999996e-11
GRB160425A,684098.0,304.596,15.02803,0.555,,3.1099999999999995e-11
GRB160424A,683906.0,6.464,0.9516974,,,
GRB160419A,683383.0,9.416,1.587331,,,
GRB160417A,683076.0,14.552,2.317058,,,3.1099999999999995e-11
GRB160412A,682522.0,32.18,3.930079,,,3.16e-11
GRB160411A,682339.0,0.3559999,0.0756042,,,3.92e-11
GRB160410A,682269.0,96.0,50.59644,1.717,,4.6799999999999996e-11
GRB160409A,682162.0,48.0,1.6,,,
GRB160408A,682059.0,0.3199999,0.03687817,,,3.32e-11
GRB160327A,680655.0,33.744,9.37472,4.99,+0.2-0.9,3.4e-11
GRB160325A,680436.0,61.724,12.05326,,,3.87e-11
GRB160321A,680017.0,33.476,4.828278,,,6.969999999999999e-11
GRB160314A,679120.0,8.732,1.516381,0.726,,3.32e-11
GRB160313A,678929.0,41.536,6.183212,,,3.61e-11
GRB160303A,677495.0,4.976,1.006252,<2.3,,3.7699999999999996e-11
GRB160228A,676595.0,98.908,23.89074,,,4.4e-11
GRB160227A,676423.0,316.348,75.75925,2.38,,3.8499999999999996e-11
GRB160225A,675998.0,157.456,70.49155,,,3.0999999999999996e-11
GRB160223A,675361.0,134.864,17.45236,,,
GRB160220B,674734.0,31.116,3.016923,,,3.7e-11
GRB160220A,674670.0,8.26,1.166424,,,4.0099999999999996e-11
GRB160216A,673978.0,11.0,1.0,,,4.48e-11
GRB160203A,672525.0,17.44,2.285985,3.52,,3.76e-11
GRB160131A,672236.0,327.752,71.02902,0.972,,3.5399999999999995e-11
GRB160127A,671828.0,6.156,0.9366579,,,3.57e-11
GRB160123A,671447.0,3.952,0.6232464,,,3.47e-11
GRB160121A,671231.0,10.5,2.395617,1.960,,4.2099999999999995e-11
GRB160119A,671014.0,120.14,14.98463,,,3.32e-11
GRB160117B,670800.0,11.536,2.608028,0.87,,3.5899999999999994e-11
GRB160117A,670793.0,137.0,20.39608,,,
GRB160104A,669319.0,16.564,2.787651,2.8or3.84,,3.76e-11
GRB151229A,668689.0,1.44,0.4471465,,,4.2999999999999994e-11
GRB151228B,668641.0,48.0,16.0,,,3.4e-11
GRB151228A,668543.0,0.276,0.04,,,
GRB151215A,667392.0,17.848,1.013714,2.59,,3.56e-11
GRB151210A,666931.0,86.96,10.67124,,,3.43e-11
GRB151205B,666378.0,1.436,0.2375879,,,
GRB151205A,666352.0,64.0,35.77709,,,4.79e-11
GRB151127A,665268.0,0.1879999,0.04252059,,,2.8999999999999997e-11
GRB151122A,664653.0,36.8,1.6,,,
GRB151118A,664078.0,23.568,10.67949,,,5.2e-11
GRB151114A,663490.0,4.856,0.9766965,,,3.5099999999999994e-11
GRB151112A,663179.0,58.864,22.72541,4.1,+0.3-0.3,3.05e-11
GRB151111A,663074.0,76.044,12.75371,3.5,+0.3-0.3,3.7e-11
GRB151107A,662757.0,,,,,
GRB151031A,662330.0,5.0,2.236068,1.167,,3.27e-11
GRB151029A,662086.0,8.952,3.955078,1.423,,2.7e-11
GRB151027B,661869.0,80.0,35.77709,4.063,,3.8499999999999996e-11
GRB151027A,661775.0,129.58,5.465449,0.810,,3.44e-11
GRB151023A,661253.0,10.76,4.372265,,,5.2099999999999993e-11
GRB151022A,661036.0,117.68,18.77789,,,5.959999999999999e-11
GRB151021A,660671.0,110.056,3.593864,2.330,,3.44e-11
GRB151006A,657750.0,211.056,39.07355,,,3.8899999999999996e-11
GRB151004A,657564.0,137.272,17.02453,,,
GRB151001B,657321.0,131.52,26.85292,,,5.4e-11
GRB151001A,657286.0,9.828,3.199572,,,3.68e-11
GRB150925A,656604.0,122.132,26.69568,,,4.0899999999999996e-11
GRB150915A,655721.0,160.0,57.68882,1.968,,
GRB150911A,655262.0,7.136,0.5997466,,,3.9799999999999994e-11
GRB150910A,655097.0,112.272,36.48014,1.360,,3.7799999999999995e-11
GRB150907B,654803.0,62.02,11.12464,,,3.9299999999999996e-11
GRB150901A,654042.0,64.0,35.77709,,,
GRB150831B,653978.0,6.176,1.032961,,,4.61e-11
GRB150831A,653838.0,0.92,0.1162755,,,5.23e-11
GRB150821A,652847.0,168.944,102.3371,0.755,,3.72e-11
GRB150819A,652643.0,51.664,13.6032,,,6.279999999999999e-11
GRB150818A,652603.0,143.056,21.80262,0.282,,3.37e-11
GRB150817A,652334.0,37.996,2.130807,,,4.67e-11
GRB150811A,651882.0,31.52,7.318875,,,3.44e-11
GRB150801B,650977.0,408.708,29.61914,,,7.82e-11
GRB150728A,650617.0,0.832,0.2307553,,,1.1000000000000001e-10
GRB150727A,650530.0,87.956,10.98515,0.313,,2.7799999999999997e-11
GRB150724A,650141.0,280.008,43.96185,,,3.48e-11
GRB150722A,649916.0,67.312,11.76489,,,3.32e-11
GRB150720A,649706.0,238.536,44.41951,,,
GRB150716A,649157.0,42.568,5.589477,,,3.62e-11
GRB150711A,648601.0,70.956,14.21344,,,3.5499999999999994e-11
GRB150710B,84694006.0,13.84,5.041073,,,
GRB150710A,648437.0,0.152,0.06013319,,,
GRB150626B,646786.0,48.0,22.62742,,,4.78e-11
GRB150626A,646603.0,97.264,34.93727,,,3.91e-11
GRB150616A,644259.0,608.408,104.2196,,,3.8199999999999995e-11
GRB150615A,643833.0,32.684,7.489407,,,3.29e-11
GRB150607A,642620.0,25.988,0.8887407,,,4.07e-11
GRB150530B,84922008.0,3.0,1.414214,,,
GRB150530A,642018.0,6.896,0.8172539,,,6.7e-11
GRB150527A,641698.0,108.8,84.10581,,,5.0099999999999994e-11
GRB150513A,640584.0,161.564,4.780453,,,
GRB150430A,639433.0,106.88,7.027553,,,3.76e-11
GRB150428B,639278.0,130.948,15.55052,,,4.0099999999999996e-11
GRB150428A,639275.0,53.2,15.37787,,,4.48e-11
GRB150424A,638946.0,81.056,17.48003,0.3or>0.7or1.0,,3.33e-11
GRB150423A,638808.0,0.2159999,0.02828424,1.394,,4.3799999999999994e-11
GRB150413A,637899.0,243.596,40.82853,3.139,+0.003-0.003,
GRB150407A,637342.0,,,,,
GRB150403A,637044.0,37.296,11.71655,2.06,,3.95e-11
GRB150402A,636865000.0,14.4,1.6,,,
GRB150323C,636005.0,159.664,44.61752,,,2.65e-11
GRB150323B,635929.0,59.2,1.6,,,
GRB150323A,635887.0,149.728,9.122436,0.593,,3.39e-11
GRB150318A,635289.0,87.444,20.83833,,,2.93e-11
GRB150317A,635148.0,23.284,0.8501294,,,6.199999999999999e-11
GRB150314A,634795.0,14.78,2.629217,1.758,,3.9399999999999994e-11
GRB150309A,634200.0,242.04,5.996356,,,3.99e-11
GRB150302A,633237.0,23.872,8.729609,,,3.2599999999999996e-11
GRB150301B,633180.0,17.136,4.635059,1.5169,,3.71e-11
GRB150301A,632995.0,0.484,0.1440555,,,8.8e-11
GRB150222A,632180.0,15.836,6.851308,,,3.53e-11
GRB150213B,631051.0,209.0,74.24284,,,3.8e-11
GRB150212A,630876.0,15.488,3.318294,,,2.99e-11
GRB150211A,630714.0,13.608,2.016032,,,4.7199999999999996e-11
GRB150206A,630019.0,75.0,12.68542,2.087,,3.6899999999999997e-11
GRB150204A,84702002.0,14.0,2.236068,,,
GRB150203A,629578.0,24.436,2.767821,,,5.37e-11
GRB150202A,629547.0,25.472,4.820012,,,3.5399999999999995e-11
GRB150201A,629302.0,26.592,4.788166,,,3.47e-11
GRB150120B,627170.0,24.336,3.277924,,,3.6899999999999997e-11
GRB150120A,627137.0,1.196,0.1536749,0.460,,4.2e-11
GRB150110B,624606.0,10.58,0.9501663,,,4.0099999999999996e-11
GRB150103A,623368.0,49.088,9.807099,,,6.58e-11
GRB150101B,91964035.0,0.01199996,0.008944237,0.1343,+0.003-0.003,
GRB150101A,623158.0,0.05999994,0.01131373,,,6.869999999999999e-11
GRB141229A,85478004.0,6.4,1.6,,,
GRB141225A,622476.0,86.148,45.22258,0.915,,3.8899999999999996e-11
GRB141221A,622006.0,36.816,4.103726,1.452,,3.36e-11
GRB141220A,621915.0,7.232,0.4790157,1.32,,3.68e-11
GRB141212B,621234.0,10.508,0.6856238,,,3.0599999999999996e-11
GRB141212A,621229.0,0.288,0.09732416,0.596,,3.5899999999999994e-11
GRB141205A,620534.0,1.664,,,,
GRB141130A,620090.0,62.856,11.37204,,,2.99e-11
GRB141121A,619182.0,481.004,38.0626,1.47,,3.49e-11
GRB141109B,618032.0,220.504,11.3443,,,3.5099999999999994e-11
GRB141109A,618024.0,200.188,48.1482,2.993,,3.48e-11
GRB141102A,617316.0,14.4,1.6,,,
GRB141031B,617149.0,15.624,2.554846,,,4.83e-11
GRB141031A,617110.0,464.0,472.2711,,,5.37e-11
GRB141026A,616502.0,139.476,14.83812,3.35,,3.88e-11
GRB141022A,616061.0,8.716,1.559595,,,3.99e-11
GRB141020A,615873.0,14.896,2.165387,,,3.53e-11
GRB141017A,615672.0,55.808,2.864162,,,3.4999999999999995e-11
GRB141015A,615399.0,11.0,4.123106,,,5.97e-11
GRB141005A,614415.0,3.472,0.5902677,,,3.66e-11
GRB141004A,614390.0,3.924,1.11246,0.573,,4.269999999999999e-11
GRB140930B,614094.0,0.8439999,0.1198833,,,3.88e-11
GRB140927A,613775.0,6.256,1.426034,,,3.87e-11
GRB140919A,613160.0,152.304,21.27984,,,3.44e-11
GRB140916A,612804.0,68.976,9.45079,,,3.32e-11
GRB140909A,612132.0,,,,,
GRB140907A,611933.0,80.0,35.77709,1.21,,3.84e-11
GRB140903A,611599.0,0.2959999,0.03417603,0.351,+0.001-0.001,4.2999999999999994e-11
GRB140901B,611389.0,6.4,1.6,,,
GRB140828A,610953.0,19.148,4.15047,,,
GRB140824A,610501.0,3.084,0.4906159,,,3.49e-11
GRB140818B,609885.0,31.552,16.04614,,,3.66e-11
GRB140817A,609736.0,258.344,17.06827,,,4.0099999999999996e-11
GRB140730A,607742.0,40.896,3.37763,,,3.8e-11
GRB140719B,605700.0,54.0,12.53994,,,
GRB140719A,605612.0,48.0,22.62742,,,3.5099999999999994e-11
GRB140716A-2,604793.0,124.8,1.6,,,
GRB140716A-1,604792.0,124.8,1.6,,,
GRB140713A,604232.0,6.016,0.728066,,,5.0399999999999995e-11
GRB140710A,603954.0,3.0,2.236068,0.558,,3.92e-11
GRB140709B,603866.0,156.732,26.22964,,,3.4599999999999996e-11
GRB140709A,603810.0,105.192,7.385089,,,4.78e-11
GRB140706A,603587.0,47.844,3.941705,,,3.6899999999999997e-11
GRB140703A,603243.0,68.644,66.45644,3.14,,3.8199999999999995e-11
GRB140629A,602884.0,38.272,11.62265,2.275,,3.27e-11
GRB140628A,602803.0,10.54,0.8737689,,,3.5099999999999994e-11
GRB140626A,602604.0,16.16,1.234162,,,3.58e-11
GRB140622A,602278.0,0.132,0.03577711,0.959,,4.24e-11
GRB140619A,602080.0,233.048,13.54655,,,3.4e-11
GRB140614B,601662.0,49.872,7.994274,,,5.16e-11
GRB140614A,601646.0,77.392,15.89091,4.233,,3.96e-11
GRB140611A,601292.0,3.2,1.6,,,
GRB140610A,601259.0,93.252,3.352321,,,6.349999999999999e-11
GRB140607A,601051.0,94.768,16.23545,,,
GRB140606A,600951.0,0.34,0.09440341,,,
GRB140529A,91901003.0,8.144,1.510878,,,
GRB140521A,599546.0,9.876,1.092381,,,
GRB140518A,599287.0,60.524,2.482379,4.707,,3.4e-11
GRB140516A,599188.0,0.256,0.1431083,,,4.5e-11
GRB140515A,599037.0,23.416,2.036035,6.33,,3.6299999999999994e-11
GRB140512A,598819.0,154.112,4.652795,0.725,,4e-11
GRB140509A,598497.0,23.216,5.171157,2.4,,3.48e-11
GRB140506A,598284.0,111.104,9.546715,0.889,,4.2099999999999995e-11
GRB140502A,597841.0,15.12,1.888115,,,6.83e-11
GRB140430A,597722.0,173.588,3.70742,1.60,,3.43e-11
GRB140428A,597519.0,17.424,5.897145,4.7,,2.2999999999999998e-11
GRB140423A,596901.0,134.144,23.10331,3.26,,3.1399999999999996e-11
GRB140419A,596426.0,80.076,3.775044,3.956,,3.47e-11
GRB140414A,84568002.0,0.4959999,0.06835206,,,
GRB140413A,595616.0,132.976,14.36711,,,3.1099999999999995e-11
GRB140412A,595608.0,48.0,22.62742,,,2.87e-11
GRB140408A,595141.0,3.628,0.6061551,,,4.519999999999999e-11
GRB140402A,594308.0,0.896,,,,
GRB140331A,594081.0,209.656,32.75182,4.65,+0.34-2.80,3.36e-11
GRB140323A,592916.0,106.488,3.256028,,,4.1799999999999994e-11
GRB140320A,592544.0,0.512,0.2307553,,,2.9799999999999997e-11
GRB140318A,592204.0,7.604,1.276033,1.02,,3.01e-11
GRB140311B,591392.0,129.6,1.6,,,4.1799999999999994e-11
GRB140311A,591390.0,70.48,7.5877,4.954,,3.9799999999999994e-11
GRB140305A,590446.0,20.304,5.354152,,,
GRB140304A,590206.0,14.784,1.401371,5.283,,3.56e-11
GRB140302A,589685.0,98.724,11.40405,,,6.969999999999999e-11
GRB140301A,589590.0,27.804,8.388573,1.416,,3.13e-11
GRB140215A,586680.0,25.632,5.641815,,,3.9299999999999996e-11
GRB140213A,586569.0,59.932,2.707028,1.2076,,3.75e-11
GRB140211A,586289.0,109.532,26.24938,,,
GRB140209A,586071.0,20.432,9.627082,,,4.11e-11
GRB140206A,585834.0,94.188,18.36108,2.73,,3.8499999999999996e-11
GRB140129B,585149.0,1.36,0.2129413,,,3.49e-11
GRB140129A,585128.0,3.0,1.414214,,,3.48e-11
GRB140118A,584136.0,84.092,9.746598,,,
GRB140114A,583861.0,139.948,15.88016,3.0,+0.1-0.1,3.08e-11
GRB140108A,583338.0,95.232,3.224261,,,5.7599999999999994e-11
GRB140103A,582773.0,17.344,1.909304,,,3.2e-11
GRB140102A,582760.0,55.08,15.41812,,,3.8599999999999995e-11
GRB131229A,582374.0,48.0,16.0,,,5.03e-11
GRB131227A,582184.0,17.988,1.550974,5.3,,4.8399999999999996e-11
GRB131226A,582123.0,7.228,0.156205,,,
GRB131224B,32923023.0,8.348,1.076909,,,
GRB131205A,580267.0,20.344,0.9385947,,,3.95e-11
GRB131202A,579982.0,30.196,8.794466,,,3.61e-11
GRB131128A,579683.0,3.0,1.414214,,,4.3299999999999995e-11
GRB131127A,579571.0,94.972,15.13601,,,3.4999999999999995e-11
GRB131120A,578227.0,130.432,21.30318,,,
GRB131117A,577968.0,10.88,2.811633,4.042,,3.1899999999999995e-11
GRB131110A,20326002.0,76.8,1.6,,,
GRB131105A,576738.0,112.208,4.102308,1.686,,3.6e-11
GRB131103A,576562.0,15.208,3.034674,0.5955,,3.99e-11
GRB131031A,576277.0,6.4,1.6,,,
GRB131030A,576238.0,39.424,3.674833,1.293,,3.4199999999999996e-11
GRB131024B,575754.0,96.816,27.40645,,,4.1799999999999994e-11
GRB131024A,575707.0,112.0,35.77709,,,3.4199999999999996e-11
GRB131018A,574935.0,73.216,18.97341,,,3.84e-11
GRB131004A,573190.0,1.536,0.3263372,0.717,,3.96e-11
GRB131002B,572742.0,52.0,11.18034,,,4.66e-11
GRB131002A,572721.0,56.528,4.10831,,,3.4599999999999996e-11
GRB131001A,82217006.0,5.0,1.0,,,
GRB130929A,572308.0,12.24,4.059281,,,7.29e-11
GRB130925A,571830.0,160.296,3.390408,0.348,,4.08e-11
GRB130919A,571271.0,99.684,26.02806,,,
GRB130913A,570531.0,41.6,1.6,,,
GRB130912A,570465.0,0.2839999,0.02884447,,,4.9999999999999995e-11
GRB130907A,569992.0,364.368,5.447201,1.238,,3.9799999999999994e-11
GRB130831B,568855.0,37.584,9.546102,,,3.62e-11
GRB130831A,568849.0,30.192,2.326272,0.4791,,3.9299999999999996e-11
GRB130829A,568417.0,51.884,8.18045,,,
GRB130822A,567163.0,0.04399997,0.01131373,,,3.2599999999999996e-11
GRB130816B,566561.0,8.676,2.34176,,,4.23e-11
GRB130816A,566545.0,29.976,1.356997,,,4.79e-11
GRB130812A,566228.0,7.628,0.5464943,,,4e-11
GRB130807A,565651.0,293.04,26.61044,,,5.53e-11
GRB130806A,565562.0,5.78,0.4116115,,,6.11e-11
GRB130803A,565263.0,43.572,1.606636,,,4.429999999999999e-11
GRB130727A,564342.0,13.564,0.8034824,,,3.67e-11
GRB130725B,564028.0,4.776,0.8550837,,,3.61e-11
GRB130725A,563980.0,101.52,20.22616,,,2.81e-11
GRB130722A,563213.0,98.368,12.86089,,,4.74e-11
GRB130719A,562625.0,146.968,22.65453,,,
GRB130716A,561974.0,87.672,19.90591,,,3.22e-11
GRB130708A,560515.0,11.2,1.6,,,
GRB130701A,559482.0,4.38,0.2526341,1.155,,3.84e-11
GRB130627B,559139.0,48.0,35.77709,,,7.209999999999999e-11
GRB130627A,559132.0,18.048,5.472988,,,3.52e-11
GRB130626A,559075.0,0.16,0.02884439,,,
GRB130625A,558982.0,41.272,9.484648,,,4.2499999999999995e-11
GRB130623A,32867001.0,17.616,1.960963,,,
GRB130615A,558271.0,332.556,28.54506,,,3.28e-11
GRB130612A,557976.0,4.0,1.414214,2.006,,3.2599999999999996e-11
GRB130610A,557845.0,47.724,10.73987,2.092,,3.18e-11
GRB130609B,557828.0,211.172,17.05549,,,3.5399999999999995e-11
GRB130609A,557782.0,7.056,0.7976866,,,2.99e-11
GRB130608A,557771.0,151.852,10.6119,,,2.8399999999999997e-11
GRB130606A,557589.0,276.656,19.63085,5.9134,,3.7699999999999996e-11
GRB130605A,557508.0,10.176,3.20064,,,2.49e-11
GRB130604A,557354.0,76.284,29.75946,1.06,,3.57e-11
GRB130603B,557310.0,0.176,0.02400005,0.3565,,3.67e-11
GRB130603A,557274.0,69.128,23.42629,,,3.8199999999999995e-11
GRB130529A,556930.0,87.592,11.07914,,,5.1199999999999995e-11
GRB130528A,556870.0,640.0,560.0,1.250,,4.48e-11
GRB130527A,556753.0,64.0,16.0,,,4.54e-11
GRB130521A,556344.0,10.956,2.504527,,,
GRB130518B,556105.0,8.0,1.6,,,
GRB130518A,556113.0,81.6,1.6,2.488,,
GRB130515A,555880.0,0.2959999,0.06092618,,,3.99e-11
GRB130514A,555821.0,214.192,17.32063,3.6,+0.2-0.2,3.62e-11
GRB130511A,555600.0,2.74,0.3978543,1.3033,,3.62e-11
GRB130508A,555413.0,42.912,10.12762,,,9.56e-11
GRB130505A,555163.0,89.344,111.1542,2.27,,3.8199999999999995e-11
GRB130504A,555096.0,120.032,25.33566,,,7.01e-11
GRB130502A,554996.0,7.568,4.449841,,,3.48e-11
GRB130427B,554635.0,25.904,5.971843,2.78,,3.7799999999999995e-11
GRB130427A,554620.0,244.332,4.732489,0.3399,,3.91e-11
GRB130420B,553996.0,12.636,5.226953,,,3.6299999999999994e-11
GRB130420A,553977.0,121.136,11.74938,1.297,,3.05e-11
GRB130419A,553918.0,85.584,49.15265,,,
GRB130418A,553847.0,274.924,39.31953,1.218,,4.16e-11
GRB130408A,553132.0,4.24,0.6807055,3.758,,3.74e-11
GRB130327A,552063.0,6.372,1.408036,,,3.04e-11
GRB130315A,551126.0,230.508,17.96899,,,4.24e-11
GRB130313A,550906.0,0.1719999,0.03577708,,,
GRB130306A,550457.0,272.38,9.340315,,,5.19e-11
GRB130305A,550329.0,52.8,1.6,,,
GRB130216B,548918.0,17.6,1.6,,,
GRB130216A,548927.0,6.52,1.086212,,,
GRB130215A,548760.0,66.224,10.66485,0.597,,
GRB130211A,548276.0,30.752,6.35498,,,2.5099999999999996e-11
GRB130206A,547918.0,121.0,32.38827,,,
GRB130131B,547420.0,4.3,0.2574024,2.539,,3.9399999999999994e-11
GRB130131A,547407.0,51.524,2.512194,,,3.33e-11
GRB130122A,546731.0,76.544,20.77052,,,3.95e-11
GRB130102A,544784.0,132.78,17.77114,,,6.169999999999999e-11
GRB121229A,544347.0,111.46,41.32595,2.707,,3.17e-11
GRB121226A,544027.0,1.012,0.2032142,,,4.41e-11
GRB121217A,542441.0,778.092,16.13797,3.1,+0.1-0.1,4.58e-11
GRB121212A,541371.0,6.056,1.380598,,,3.1899999999999995e-11
GRB121211A,541200.0,182.696,38.73146,1.023,,3.48e-11
GRB121209A,540964.0,42.92,1.432201,2.1,+0.3-0.3,4.12e-11
GRB121202A,540255.0,19.536,1.492265,,,3.5399999999999995e-11
GRB121201A,540178.0,38.0,8.246211,3.385,,4.1399999999999994e-11
GRB121128A,539866.0,23.428,1.649514,2.20,,4.1799999999999994e-11
GRB121125A,539563.0,52.252,5.03752,,,3.33e-11
GRB121123A,539358.0,326.092,14.29083,,,3.5499999999999994e-11
GRB121117A,538696.0,23.3,2.897719,,,4.429999999999999e-11
GRB121108A,537921.0,89.548,47.53646,,,4.55e-11
GRB121102A,537266.0,54.68,13.93574,,,5.849999999999999e-11
GRB121031A,537195.0,226.2,19.38332,,,3.95e-11
GRB121028A,536897.0,2.876,0.3705995,,,5.5199999999999994e-11
GRB121027A,536831.0,80.088,40.7569,1.773,,3.0699999999999995e-11
GRB121024A,536580.0,67.968,31.72367,2.298,,3.52e-11
GRB121017A,536172.0,4.608,0.5840719,,,4.519999999999999e-11
GRB121014A,535960.0,80.0,22.62742,,,
GRB121011A,535764.0,97.236,17.16797,,,3.57e-11
GRB121001A,535026.0,147.824,18.60492,,,7.719999999999999e-11
GRB120927A,534815.0,35.056,15.61516,,,4.78e-11
GRB120923A,534402.0,26.076,6.823564,7.84,+0.06-0.12,4.12e-11
GRB120922A,534394.0,168.224,29.23869,3.1,+0.2-0.2,3.44e-11
GRB120918A,534015.0,25.096,2.46917,,,
GRB120913B,533613.0,122.588,4.456214,,,
GRB120913A,533568.0,36.044,5.679292,,,
GRB120911A,533268.0,21.468,3.847558,,,5.4299999999999996e-11
GRB120909A,533060.0,220.596,304.9668,3.93,,3.4999999999999995e-11
GRB120907A,532871.0,6.08,0.7846528,0.970,,3.87e-11
GRB120819A,531428.0,71.02,17.33262,,,4.74e-11
GRB120817B,531259.0,0.072,,,,
GRB120817A,531267.0,28.208,6.664192,,,4.75e-11
GRB120816A,531223.0,4.432,0.9769176,,,4.8499999999999994e-11
GRB120815A,531003.0,7.232,2.516761,2.3586,,4.0199999999999994e-11
GRB120811C,530689.0,24.344,3.055921,2.671,,3.64e-11
GRB120811A,530581.0,29.008,4.938826,,,5.3499999999999996e-11
GRB120807A,530267.0,19.884,5.762541,,,4.9299999999999994e-11
GRB120805A,530031.0,48.0,22.62742,3.1,+0.1-0.1,5.58e-11
GRB120804A,529686.0,0.808,0.08323456,1.3,N/AN/A,4.2099999999999995e-11
GRB120803B,529606.0,39.012,7.256395,,,8.539999999999998e-11
GRB120803A,529582.0,8.888,2.295485,,,7.06e-11
GRB120802A,529486.0,50.288,31.03504,3.796,,3.56e-11
GRB120729A,529095.0,93.928,36.63556,0.80,,4.11e-11
GRB120728A,529021.0,20.976,2.059219,,,3.53e-11
GRB120724A,528443.0,77.924,18.62399,1.48,,3.7e-11
GRB120722A,528195.0,36.32,6.444982,0.9586,,8.279999999999999e-11
GRB120714B,526642.0,157.312,23.9863,0.3984,,
GRB120714A,526593.0,20.0,4.472136,,,2.9799999999999997e-11
GRB120712A,526351.0,14.808,3.236215,4.1745,,3.09e-11
GRB120711B,526270.0,60.096,20.14455,,,
GRB120703A,525671.0,51.704,21.39616,,,3.61e-11
GRB120701A,525477.0,14.16,0.654107,,,3.5899999999999994e-11
GRB120630A,525451.0,0.5959999,0.2099142,,,4.1399999999999994e-11
GRB120624B,525068.0,179.664,1.460022,2.1974,,
GRB120612A,524128.0,90.284,13.58858,,,3.41e-11
GRB120521C,522656.0,27.068,4.33578,5.93,+0.11-0.14,3.5099999999999994e-11
GRB120521B,522586.0,146.832,27.94449,,,6.41e-11
GRB120521A,522578.0,0.512,0.1431084,,,4.7699999999999994e-11
GRB120514A,522197.0,164.344,5.842773,,,6.7e-11
GRB120422A,520658.0,60.352,5.727911,0.28253,,2.14e-11
GRB120404A,519380.0,38.724,4.091992,2.876,,3.58e-11
GRB120403B,519256.0,7.284,1.919334,,,3.48e-11
GRB120403A,519211.0,1.396,0.2253974,,,
GRB120401A,519043.0,130.272,24.22921,4.5,+0.5-0.5,3.8499999999999996e-11
GRB120328A,518792.0,29.928,6.665064,,,4.7599999999999996e-11
GRB120327A,518731.0,63.532,7.028584,2.8145,,4.3799999999999994e-11
GRB120326A,518626.0,69.48,8.179648,1.798,,3.74e-11
GRB120324A,518507.0,118.424,10.01002,,,5.57e-11
GRB120320A,518200.0,24.976,3.545387,,,3.47e-11
GRB120312A,517566.0,14.156,4.16517,,,4.82e-11
GRB120311B,517489.0,29.688,6.023572,,,4.2899999999999995e-11
GRB120311A,517469.0,3.48,0.8197951,,,3.9799999999999994e-11
GRB120308A,517234.0,61.256,16.81484,,,4.2499999999999995e-11
GRB120305A,516997.0,0.0999999,0.01200002,,,4.51e-11
GRB120302A,516694.0,49.6,1.6,,,
GRB120229A,516571.0,0.2359999,0.03687817,,,
GRB120224A,515976.0,7.0,2.236068,1.1,+0.2-0.2,3.6499999999999997e-11
GRB120219A,515375.0,92.528,10.92266,,,3.23e-11
GRB120218A,515277.0,31.376,2.297226,,,
GRB120215A,515015.0,7.924,1.198361,,,3.1899999999999995e-11
GRB120213A,514767.0,41.028,12.77639,,,3.36e-11
GRB120212A,514709.0,5.0,2.236068,,,3.29e-11
GRB120211A,514586.0,64.32,8.832058,2.4,+0.1-0.1,5.48e-11
GRB120121A,512164.0,26.8,3.419168,,,6.809999999999999e-11
