grb_name,flare_num,t_start,t_peak,t_stop,par_t_start,par_rise,par_decay,par_amp,par_t_start_err,par_rise_err,par_decay_err,par_amp_err,fluence_tot,fluence_rise,fluence_decay,peak_flux,peak_flux_err,redshift,conversion,t_rise,t_decay,t_wait,duration,d_l,e_iso,L_p,L_iso
GRB130418A,1,129.557,142.092,153.708,128.54300004425122,1.523353705021916,19.009816890679343,5.2747868954717685,1.3807368476971416,2.5472586078040016,9.406469920370771,2.6030235820173946,2.4308327538003564e-09,1.4989961144690628e-09,9.318366393312938e-10,3.744746304e-09,5.7440032e-10,1.218,4.16e-11,12.535000000000025,11.615999999999985,58.41163210099188,24.15100000000001,2.651784668118446e+28,9.684560406442467e+48,1.4919258320504224e+49,8.894188638768325e+47
GRB130418A,2,220.05,224.947,234.382,222.634809043198,17.043921969184044,0.3244247741113257,8.110415579983427e-16,0.2828716154457609,0.0,0.0628467050326064,7.075408996337378e-15,1.7748168087764406e-09,6.621360465684288e-10,1.1126807622080118e-09,3.1247968959999995e-09,4.6309743999999995e-10,1.218,4.16e-11,4.896999999999991,9.435000000000002,90.49300000000002,14.331999999999994,2.651784668118446e+28,7.070959763929757e+48,1.2449348582235432e+49,1.0942917078144158e+48
GRB111129A,1,228.363,243.083,253.812,213.60722863565584,177.14777546270582,4.093393568948346,1.1853553434708936e-11,0.3718586214692692,0.0,0.1279633622633626,1.3443403735552639e-11,9.397234929533153e-08,5.526302141266575e-08,3.870932788266579e-08,1.56872328e-08,1.9352748319999998e-09,1.0796,3.91e-11,14.719999999999999,10.729000000000013,109.81102135025967,25.449000000000012,2.282622853992121e+28,2.958683174070785e+50,4.939064744164816e+49,2.4177286057595986e+49
GRB120224A,1,751.339,762.333,771.258,751.3330240157558,2.652506425267438e-05,2.029822870590833,41.59863073390232,5.104202797385666,3.663911707055085,3.1119860846831955,37.60122880830155,3.07258127321511e-09,3.0590937161053608e-09,1.3487557109749098e-11,1.581821305e-08,2.03357633e-09,1.1,3.6499999999999997e-11,10.993999999999915,8.925000000000068,357.7804761904762,19.918999999999983,2.3363437766241494e+28,1.0036156886461666e+49,5.166798001966505e+49,1.0580817039795932e+48
GRB120224A,2,1215.154,1231.16,1241.89,1217.980700954044,49.0494069497621,1.484168280136192,8.900306714717712e-09,11.36532852896983,201.3083228939316,1.9367278194362711,1.3088974112847366e-06,4.835186889460774e-09,4.293181088017892e-09,5.420058014428826e-10,8.43234315e-09,1.07370882e-09,1.1,3.6499999999999997e-11,16.006000000000085,10.730000000000018,463.81499999999994,26.736000000000104,2.3363437766241494e+28,1.5793461550070962e+49,2.7543069246570776e+49,1.2405097716617628e+48
GRB090807A,1,73.067,85.334,96.311,73.27109146275042,80.59953106067799,2.768183509004789,2.0167294172558338e-07,26.4081704248313,432.0751194021228,4.579122182655223,3.338076825860104e-05,6.445842288779198e-09,1.1504716846427593e-09,5.295370604136438e-09,3.2982873769999997e-09,5.167704959999999e-10,,3.41e-11,12.26700000000001,10.977000000000004,,23.244000000000014,,,,
GRB121024A,1,74.162,94.535,102.119,101.87373115339632,4.670282717910679,2.6753954137629115,47.39993470387091,7869.561745498234,15634.721556408818,633.1401936052407,298197.8335223025,5.539937206113806e-19,0.0,5.539937206113806e-19,2.3782038720000003e-09,3.506541632e-10,2.298,3.52e-11,20.37299999999999,7.584000000000003,22.48696179502729,27.956999999999994,5.807437546582114e+28,7.119232084181441e+39,3.056169172744794e+49,8.398335806284794e+38
GRB050607A,1,99.589,108.956,117.459,95.30900683529296,95.7352021855924,2.189901236769233,9.857064253030684e-12,0.461906934965788,0.0,0.1248346639119632,2.061267466020408e-11,0.0,0.0,0.0,0.0,0.0,,0.0,9.367000000000004,8.503,,17.870000000000005,,,,
GRB050607A,2,151.475,172.119,206.181,161.37711773463835,27.100761119742195,11.335546017002466,49.82307395621432,8969525.14363996,338844.2752593408,54033.81406323595,1545400.23976906,0.0,0.0,0.0,0.0,0.0,,0.0,20.644000000000005,34.06200000000001,51.885999999999996,54.70600000000002,,,,
GRB110305A,1,70.0768484694875,72.5743935813263,86.322,64.44295223901787,41.91641825255831,2.3378221239979293,0.0098665297900319,2.282702349169638,31.27617898628542,0.5164592900054576,0.1297751336419914,4.4323891712854996e-08,7.2903414420207105e-09,3.7033550270834286e-08,1.0075098260221153e-08,1.3013905311521783e-09,,4.1e-11,2.4975451118388037,13.747606418673698,,16.2451515305125,,,,
GRB110305A,2,93.764,103.586,115.089,98.28635677175208,7.627951709259844,4.94984705068246,109.8459271923302,1.3216593829345404,5.550914992616548,0.9761637747171976,31.62804128704519,1.7080122256194516e-08,3.937456979599144e-09,1.314266527659537e-08,4.5312954e-09,5.6786845e-10,,4.1e-11,9.822000000000003,11.503,23.687151530512494,21.325000000000003,,,,
GRB070925A,1,468.623,602.122,696.837,407.0674550230567,1268.2441565092995,29.158562168359392,4.714455180118994e-13,6.612464434850229,0.0,1.946274626963497,1.1463104378951284e-12,0.0,0.0,0.0,0.0,0.0,,0.0,133.49899999999997,94.71500000000003,,228.214,,,,
GRB100702A,1,83.564,90.77,110.338,85.25204168325037,6.673656441019378,5.44915998946755,69.15232254098258,0.6635138440675945,2.3998322867717654,0.4797193080982942,4.930793870999728,1.299852804768651e-08,3.007342487429847e-09,9.991185560256664e-09,2.387302733999999e-09,3.626852060999999e-10,,4.4699999999999985e-11,7.206000000000003,19.567999999999998,,26.774,,,,
GRB100702A,2,520.749,578.648,666.462,526.9409907120838,4.080034254094886,44.54026890027475,1.5864127980928266,13.353220331697484,13.002916216869894,25.892724755336637,1.1929611474186803,2.5497376292244453e-09,1.6651099442226607e-09,8.846276850017843e-10,3.734885255999999e-10,7.015964489999998e-11,,4.4699999999999985e-11,57.899,87.81399999999996,437.18500000000006,145.71299999999997,,,,
GRB060505A,1,124.4,137.011,158.052,111.0491077516643,173.29393903711193,4.025794126759219,8.033331234610824e-12,0.6586759434607743,0.0,0.1949612667709703,1.4012937683524116e-11,0.0,0.0,0.0,0.0,0.0,,0.0,12.61099999999999,21.040999999999997,,33.65199999999999,,,,
GRB060505A,2,163.34,170.701,180.901,160.7553673067467,33.09921078143593,2.9288091110623657,0.6812969973382882,2.881470956399317,30.20790505374616,0.822126572008476,6.394090824968716,0.0,0.0,0.0,0.0,0.0,,0.0,7.36099999999999,10.200000000000017,38.94,17.561000000000007,,,,
GRB090812A,1,188.95,213.501,338.26,163.74072416643958,139.15139801326737,31.448276655011306,3.383256378519571,17.640410117389674,118.66887224456822,7.851670285919749,8.555875378077934,0.0,0.0,0.0,0.0,0.0,,0.0,24.551000000000016,124.75899999999999,,149.31,,,,
GRB081102A,1,314.672,328.601,357.818,314.6720440315503,2.635778172748845e-05,28.80073382083798,2.2578060915839013,1.720753146542848,2.351003424755513,15.42292930156294,1.1780199371595592,0.0,0.0,0.0,0.0,0.0,,0.0,13.928999999999974,29.216999999999985,,43.14599999999996,,,,
GRB070110A,1,159.683,222.542,297.052,135.82369313873485,531.3149710291225,12.157799222682147,4.606870445113974e-13,5.70989054764794,0.0,1.606192478902527,2.2343467890757296e-12,0.0,0.0,0.0,0.0,0.0,,0.0,62.85900000000001,74.51000000000002,,137.36900000000003,,,,
GRB071112C,1,238.442,337.424,1859.619,,,,,0.0,0.0,0.0,0.0,,,,8.086022139999998e-10,1.3539397129999996e-10,0.8227,4.2699999999999986e-11,98.98199999999997,1522.195,130.81801722719044,1621.177,1.6296193834509896e+28,,1.4804780064272688e+48,
GRB130603B,1,133.509,141.206,143.721,129.57486215201024,67.22313646178777,1.5362073719579563,7.440932315334332e-12,0.3144621128931675,0.0,0.0982550424504116,1.7500581100604844e-11,2.9550326870826455e-08,2.100210096321735e-08,8.548225907609103e-09,6.934406279999999e-09,7.567114279999999e-10,0.3565,3.67e-11,7.697000000000003,2.515000000000015,98.42167342425358,10.212000000000018,5.932312330683992e+27,9.633860900693022e+48,2.2607230648391053e+48,1.2797035166265239e+48
GRB130603B,2,167.528,183.897,207.576,145.84810768279127,237.5039120406097,5.415706968793628,1.0309037489616894e-11,0.6972261036663765,0.0,0.1849613517405863,1.2848278916390383e-11,1.7827758510589098e-07,8.735010686975122e-08,9.092747823613978e-08,1.104642475e-08,1.41898348e-09,0.3565,3.67e-11,16.369,23.679000000000002,34.019000000000005,40.048,5.932312330683992e+27,5.812123378970872e+49,3.6013043089731615e+48,1.968673932174887e+48
GRB060115A,1,104.143,106.473,111.495,100.87249527143123,26.839174968945468,1.2441979016505988,0.0003461401622194,0.5171455731333992,7.437484516486414,0.1082017713635736,0.0021199468491882,0.0,0.0,0.0,0.0,0.0,,0.0,2.3299999999999983,5.022000000000006,,7.352000000000004,,,,
GRB060115A,2,191.856,199.068,210.016,179.10621988800585,132.06388995763487,3.0655879666558152,8.561413474427817e-12,0.3879477725111746,0.0,0.1128482252786056,1.1374486120117496e-11,0.0,0.0,0.0,0.0,0.0,,0.0,7.2120000000000175,10.947999999999979,87.713,18.159999999999997,,,,
GRB060115A,3,323.211,372.651,419.994,342.5904744230324,77.31005559601465,14.316073363258909,19.8108957458618,4.066399183560437,30.106838948098137,1.626434592298603,30.329495452168565,0.0,0.0,0.0,0.0,0.0,,0.0,49.44,47.34300000000002,131.35500000000002,96.78300000000002,,,,
GRB070306A,1,235.017,252.652,276.062,249.4616776090182,19.19885232570266,0.4208300944874341,2.2663037103354174e-13,0.5646747828900253,0.0,0.1292218876021187,2.6851459222582333e-12,0.0,0.0,0.0,0.0,0.0,,0.0,17.63499999999999,23.410000000000025,,41.045000000000016,,,,
GRB070306A,2,469.769,498.94,555.291,469.426033953401,2.5967493895446454,65.01024925148087,0.7630579200475489,38.766529384917725,28.32693299331672,68.11385084357148,1.225952293088615,0.0,0.0,0.0,0.0,0.0,,0.0,29.170999999999992,56.351000000000056,234.752,85.52200000000005,,,,
